Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;Изображения
"Медвежонок-девочка в платье";"";"8622";"RUB";"199";"1";"399";"";"";"";"";"Медвежонок-девочка в платье";"";"";"medvezhonok-devochka-v-plate";"";"";"Высота: 18 см";"http://www.lavatoys.ru/media/thumbs/4f/cf/4fcf9bdb140a068b8bfd1a22de37ddc1.jpg"
"Медвежонок Эндрю коричневый";"";"8746";"RUB";"499";"1";"1 199";"";"";"";"";"Медвежонок Эндрю коричневый";"";"";"medvezhonok-endryu-korichnevyy";"";"";"Высота: 34 см";"http://www.lavatoys.ru/media/thumbs/03/0c/030c7a2eca684ac8c205a1b38d44474e.jpg"
"Медвежонок Стив серый с бордовым сердцем";"";"8757C";"RUB";"399";"1";"739";"";"";"";"";"Медвежонок Стив серый с бордовым сердцем";"";"";"medvezhonok-stiv-seryy-s-bordovym-serdtsem";"";"";"Высота: 26 см";"http://www.lavatoys.ru/media/thumbs/d7/9c/d79c33910e4e4333cd501ec7aff50876.jpg"
"Медвежонок Стив серый";"";"8757B";"RUB";"399";"1";"669";"";"";"";"";"Медвежонок Стив серый";"";"";"medvezhonok-stiv-seryy";"";"";"Высота: 26 см";"http://www.lavatoys.ru/media/thumbs/a1/6b/a16bccf2b03f628cfc06bc45162e1d4a.jpg"
"Медвежонок Стив коричневый";"";"8757A";"RUB";"399";"1";"669";"";"";"";"";"Медвежонок Стив коричневый";"";"";"medvezhonok-stiv-korichnevyy";"";"";"Высота: 26 см";"http://www.lavatoys.ru/media/thumbs/c7/09/c709b7425a684aafa1100982b8ccc2b3.jpg"
"Медвежонок сиреневый с косынкой";"";"1230";"RUB";"299";"1";"599";"";"";"";"";"Медвежонок сиреневый с косынкой";"";"";"medvezhonok-sirenevyy-s-kosynkoy";"";"";"Высота: 24 см";"http://www.lavatoys.ru/media/thumbs/65/68/656814bdd278e0df969a15e022570a84.jpg"
"Медвежонок Сёма в кофточке";"";"8355A";"RUB";"369";"1";"739";"";"";"";"";"Медвежонок Сёма в кофточке";"";"";"medvezhonok-sёma-v-koftochke";"";"";"Высота: 24 см";"http://www.lavatoys.ru/media/thumbs/37/17/37179f51f83821898c0d86b1bf5267de.jpg"
"Медвежонок с парчовым сердцем";"";"8383W";"RUB";"399";"1";"469";"";"";"";"";"Медвежонок с парчовым сердцем";"";"";"medvezhonok-s-parchovym-serdtsem";"";"";"Высота: 21 см";"http://www.lavatoys.ru/media/thumbs/82/c6/82c6f0d4ac2895279504fe5f26e8bf48.jpg"
"Медвежонок с нарциссом";"";"8383";"RUB";"299";"1";"469";"";"";"";"";"Медвежонок с нарциссом";"";"";"medvezhonok-s-nartsissom";"";"";"Высота: 20,5 см";"http://www.lavatoys.ru/media/thumbs/74/8b/748b06387a40191aee30028412726a02.jpg"
"Медвежонок с декоративным цветком";"";"1144";"RUB";"369";"1";"569";"";"";"";"";"Медвежонок с декоративным цветком";"";"";"medvezhonok-s-dekorativnym-tsvetkom";"";"";"Высота: 22 см";"http://www.lavatoys.ru/media/thumbs/a4/42/a442cdac39e82aecd910b12b50dfe480.jpg"
"Медвежонок с большой ромашкой";"";"8383Y";"RUB";"299";"1";"469";"";"";"";"";"Медвежонок с большой ромашкой";"";"";"medvezhonok-s-bolshoy-romashkoy";"";"";"Высота: 21 см";"http://www.lavatoys.ru/media/thumbs/13/ce/13ce3c88f2bd3f92cf82f320c552da80.jpg"
"Медвежонок Масик с мимозой";"";"8546P";"RUB";"239";"1";"399";"";"";"";"";"Медвежонок Масик с мимозой";"";"";"medvezhonok-masik-s-mimozoy";"";"";"Высота: 17,5 см";"http://www.lavatoys.ru/media/thumbs/de/65/de65c6c63019e38b1426c46ac90649ba.jpg"
"Медвежонок Масик с бантиком";"";"8546S";"RUB";"239";"1";"399";"";"";"";"";"Медвежонок Масик с бантиком";"";"";"medvezhonok-masik-s-bantikom";"";"";"Высота: 17,5 см";"http://www.lavatoys.ru/media/thumbs/11/e8/11e84934281c05f23939eec2a6b97c54.jpg"
"Медвежонок Масик в маечке с вишнями";"";"8546F";"RUB";"239";"1";"399";"";"";"";"";"Медвежонок Масик в маечке с вишнями";"";"";"medvezhonok-masik-v-maechke-s-vishnyami";"";"";"Высота: 17,5 см";"http://www.lavatoys.ru/media/thumbs/74/95/749509792400a109faffc883a4ee1694.jpg"
"Медвежонок лохматый в футболочке";"";"8587";"RUB";"199";"1";"399";"";"";"";"";"Медвежонок лохматый в футболочке";"";"";"medvezhonok-lokhmatyy-v-futbolochke";"";"";"Высота: 18 см";"http://www.lavatoys.ru/media/thumbs/22/81/228141701ce3895ac1e3d63b777f0afa.jpg"
"Медвежонок лохматый в зелёном свитере";"";"8648A";"RUB";"199";"1";"399";"";"";"";"";"Медвежонок лохматый в зелёном свитере";"";"";"medvezhonok-lokhmatyy-v-zelёnom-svitere";"";"";"Высота: 18 см";"http://www.lavatoys.ru/media/thumbs/73/c5/73c5251052fb66fafe406f24f7a89103.jpg"
"Медвежонок Дэнни с сердцем";"";"8783B";"RUB";"469";"1";"669";"";"";"";"";"Медвежонок Дэнни с сердцем";"";"";"medvezhonok-denni-s-serdtsem";"";"";"Высота: 24 см";"http://www.lavatoys.ru/media/thumbs/9e/fe/9efe6b18a2f9ae6a3f53a7bde338dcac.jpg"
"Медвежонок Дэнни с малиновым бантом";"";"8783A";"RUB";"299";"1";"599";"";"";"";"";"Медвежонок Дэнни с малиновым бантом";"";"";"medvezhonok-denni-s-malinovym-bantom";"";"";"Высота: 24 см";"http://www.lavatoys.ru/media/thumbs/e4/e4/e4e4e1a85db64292f0d7c8545a32fbac.jpg"
"Медвежонок Даня";"";"1235";"RUB";"199";"1";"399";"";"";"";"";"Медвежонок Даня";"";"";"medvezhonok-danya";"";"";"Высота: 18 см";"http://www.lavatoys.ru/media/thumbs/8d/28/8d2821c4f0b313dca14c6151871f262b.jpg"
"Медвежонок Вильям";"";"1236";"RUB";"399";"1";"669";"";"";"";"";"Медвежонок Вильям";"";"";"medvezhonok-vilyam";"";"";"Высота: 25 см";"http://www.lavatoys.ru/media/thumbs/6a/aa/6aaa8a7cce81ded15dcf53c83983bac7.jpg"
"Медвежонок в футболке в полосочку";"";"8383K";"RUB";"299";"1";"469";"";"";"";"";"Медвежонок в футболке в полосочку";"";"";"medvezhonok-v-futbolke-v-polosochku";"";"";"Высота: 21 см";"http://www.lavatoys.ru/media/thumbs/3d/e4/3de4a9916591bc8247be754d8b252092.jpg"
"Медвежонок в кофточке в серую полоску";"";"8383Q";"RUB";"299";"1";"469";"";"";"";"";"Медвежонок в кофточке в серую полоску";"";"";"medvezhonok-v-koftochke-v-seruyu-polosku";"";"";"Высота: 21 см";"http://www.lavatoys.ru/media/thumbs/f0/07/f007c83b5394e8f8c4d2cf30d91b63ee.jpg"
"Медвежонок Берни в ушанке";"";"8533L";"RUB";"299";"1";"399";"";"";"";"";"Медвежонок Берни в ушанке";"";"";"medvezhonok-berni-v-ushanke";"";"";"Высота: 18 см";"http://www.lavatoys.ru/media/thumbs/5e/46/5e46c94db46ef55867c2f1d352aadf50.jpg"
"Медвежонок Бадди";"";"1219";"RUB";"399";"1";"599";"";"";"";"";"Медвежонок Бадди";"";"";"medvezhonok-baddi";"";"";"Высота: 23 см";"http://www.lavatoys.ru/media/thumbs/ad/f6/adf6b30b9a1d41677f1bb4d60095aa0f.jpg"
"Медведь Филипп";"";"1070";"RUB";"499";"1";"799";"";"";"";"";"Медведь Филипп";"";"";"medved-filipp";"";"";"Высота: 27 см";"http://www.lavatoys.ru/media/thumbs/4f/d8/4fd8f7cbb9b7a695990a600b7293814c.jpg"
"Медведь Тима цветной";"";"8257E";"RUB";"599";"1";"1 699";"";"";"";"";"Медведь Тима цветной";"";"";"medved-tima-tsvetnoy";"";"";"Высота: 36 см";"http://www.lavatoys.ru/media/thumbs/bd/f4/bdf4c3d713d526349f9fe726772710bf.jpg"
"Медведь Тима";"";"8257B";"RUB";"599";"1";"1 699";"";"";"";"";"Медведь Тима";"";"";"medved-tima";"";"";"Высота: 36 см";"http://www.lavatoys.ru/media/thumbs/16/85/168570cd9d2cf8f865a4c3b3a0241d12.jpg"
"Медведь светящийся малый";"";"8332B";"RUB";"399";"1";"799";"";"";"";"";"Медведь светящийся малый";"";"";"medved-svetyashchiysya-malyy";"";"";"Высота: 24 см";"http://www.lavatoys.ru/media/thumbs/ef/79/ef79cf398530f2b4352b35dafea2240f.jpg"
"Медведь светящийся";"";"8332";"RUB";"499";"1";"1 199";"";"";"";"";"Медведь светящийся";"";"";"medved-svetyashchiysya";"";"";"Высота: 28 см";"http://www.lavatoys.ru/media/thumbs/08/a3/08a3a6dcb45db837b27bd81a8c36357e.jpg"
"Медведь Сафрон";"";"8453";"RUB";"299";"1";"599";"";"";"";"";"Медведь Сафрон";"";"";"medved-safron";"";"";"Высота: 23 см";"http://www.lavatoys.ru/media/thumbs/b1/00/b1007f51930f24e19667115aba6cfaaf.jpg"
"Медведь с красным сердцем";"";"1096A";"RUB";"399";"1";"569";"";"";"";"";"Медведь с красным сердцем";"";"";"medved-s-krasnym-serdtsem";"";"";"Высота: 22 см";"http://www.lavatoys.ru/media/thumbs/35/ce/35ce9f831e411d9d65d79ceb745d12de.jpg"
"Медведь с декоративными сердечками";"";"867";"RUB";"499";"1";"669";"";"";"";"";"Медведь с декоративными сердечками";"";"";"medved-s-dekorativnymi-serdechkami";"";"";"Высота: 26 см";"http://www.lavatoys.ru/media/thumbs/9c/42/9c42ae17a9a623c5007fbd27b7e9571d.jpg"
"Медведь с декоративными пятками";"";"8517";"RUB";"299";"1";"499";"";"";"";"";"Медведь с декоративными пятками";"";"";"medved-s-dekorativnymi-pyatkami";"";"";"Высота: 22 см";"http://www.lavatoys.ru/media/thumbs/85/76/85769ff9ec29f47a5711d2e7486eafc3.jpg"
"Медведь с декоративным сердцем малый";"";"863A";"RUB";"499";"1";"699";"";"";"";"";"Медведь с декоративным сердцем малый";"";"";"medved-s-dekorativnym-serdtsem-malyy";"";"";"Высота: 25 см";"http://www.lavatoys.ru/media/thumbs/91/cf/91cf2fee8b2cf847a308eaaf8df297c5.jpg"
"Медведь с декоративным сердцем большой";"";"863B";"RUB";"699";"1";"1 299";"";"";"";"";"Медведь с декоративным сердцем большой";"";"";"medved-s-dekorativnym-serdtsem-bolshoy";"";"";"Высота: 32,5 см";"http://www.lavatoys.ru/media/thumbs/b5/ff/b5ffa247c9c0b85ee393c219436eda1d.jpg"
"Медведь с декоративным бантом";"";"8415A";"RUB";"999";"1";"1 999";"";"";"";"";"Медведь с декоративным бантом";"";"";"medved-s-dekorativnym-bantom";"";"";"Высота: 38 см";"http://www.lavatoys.ru/media/thumbs/cc/15/cc157d44ff2d0e22b59cf11dc7312fe4.jpg"
"Медведь с голубым бантом малый";"";"8702A";"RUB";"269";"1";"399";"";"";"";"";"Медведь с голубым бантом малый";"";"";"medved-s-golubym-bantom-malyy";"";"";"Высота: 16,5 см";"http://www.lavatoys.ru/media/thumbs/52/09/52091daf53edcc396ee19d63e1ca562f.jpg"
"Медведь с голубым бантом большой";"";"8702";"RUB";"399";"1";"599";"";"";"";"";"Медведь с голубым бантом большой";"";"";"medved-s-golubym-bantom-bolshoy";"";"";"Высота: 24 см";"http://www.lavatoys.ru/media/thumbs/bb/55/bb5581200b6e73a63d6d0d879e26f7dc.jpg"
"Медведь Оливер в русском наряде";"";"8787A";"RUB";"199";"1";"399";"";"";"";"";"Медведь Оливер в русском наряде";"";"";"medved-oliver-v-russkom-naryade";"";"";"Высота: 24 см";"http://www.lavatoys.ru/media/thumbs/b6/b1/b6b1047b22bdea117cb8ce3752eaf8ff.jpg"
