Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"Тип товаров""META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;"Возраст детей";Страна-производитель;Материал;Изображения
"Конус (3 в 1) под роспись";"";"RS-Д-013";"RUB";"93,75";"1";"";"";"";"от 3 лет";"";"Конус (3 в 1) под роспись";"";"";"konus-3-v-1-pod-rospis-rs-d-013";"";"";"13х107см";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Izdelia%20pod%20rospis/D_013_300.jpg"
"Гнездо с яйцами(10 шт) под роспись";"";"RS-Д-670";"RUB";"156,25";"1";"";"";"";"от 3 лет";"";"Гнездо с яйцами(10 шт) под роспись";"";"";"gnezdo-s-yaytsami10-sht-pod-rospis-rs-d-670";"";"";"- - - - -";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Izdelia%20pod%20rospis/%d0%94-670-300.jpg"
"Бочонок (5 в 1)";"";"RS-Д-017";"RUB";"210,00";"1";"";"";"";"от 3 лет";"";"Бочонок (5 в 1)";"";"";"bochonok-5-v-1-rs-d-017";"";"";"15х18 см";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Izdelia%20pod%20rospis/D_017_300.jpg"
"!!Картинки разрезные";"";"";"";"";"";"";"";"";"<h1>Картинки разрезные</h1>
        Разрезные картинки знакомят ребенка с окружающим миром, расширяют словарный запас, активизируют речь.";"";"";"";"";"";"";"";"";"";"";""
"Овощи(карт.разр.)";"";"RS-Д-601";"RUB";"168,75";"1";"";"";"";"от 3 лет";"";"Овощи(карт.разр.)";"";"";"ovoshchikartrazr--rs-d-601--";"";"";"15x15x1.8";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Kartinrirazreznii/%d0%b4-601-300.jpg"
"Лето(карт.разр.)";"";"RS-Д-602";"RUB";"168,75";"1";"";"";"";"от 3 лет";"";"Лето(карт.разр.)";"";"";"letokartrazr--rs-d-602-";"";"";"15x15x1.8";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Kartinrirazreznii/%d0%b4-602-300.jpg"
"Клоун Эмоции (6 шт) (карт. раз.) (RNtoys)";"";"RS-Д-059";"RUB";"225,00";"1";"";"";"";"от 3 лет";"";"Клоун Эмоции (6 шт) (карт. раз.) (RNtoys)";"";"";"kloun-emotsii-6-sht-kart-raz-rntoys-rs-d-059";"";"";"15x23.5x1.5";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Kartinrirazreznii/059%20%d0%be%d0%b1%d1%89%d0%b8%d0%b9%20.jpg300.jpg"
"Игрушки (карт.разр.)";"";"RS-Д-007";"RUB";"218,75";"1";"";"";"";"от 3 лет";"";"Игрушки (карт.разр.)";"";"";"igrushki-kartrazr--rs-d-007";"";"";"15x15x1.8";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Kartinrirazreznii/%d0%b4-007-300.jpg"
"Животные фермы (карт.разр.)";"";"RS-Д-330";"RUB";"225,00";"1";"";"";"";"от 3 лет";"";"Животные фермы (карт.разр.)";"";"";"zhivotnye-fermy-kartrazr--rs-d-330";"";"";"- - - - -";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Kartinrirazreznii/%d0%94-330-300.jpg"
"Времена года-старшие (карт.разр.)";"";"RS-Д-192";"RUB";"218,75";"1";"";"";"";"от 3 лет";"";"Времена года-старшие (карт.разр.)";"";"";"vremena-goda-starshie-kartrazr--rs-d-192";"";"";"19x19x1.8";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Kartinrirazreznii/%d0%b4-192-300.jpg"
"Времена года для малышей (карт.разр.)";"";"RS-Д-172";"RUB";"218,75";"1";"";"";"";"от 3 лет";"";"Времена года для малышей (карт.разр.)";"";"";"vremena-goda-dlya-malyshey-kartrazr--rs-d-172";"";"";"19x19x1.8";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Kartinrirazreznii/%d0%b4-172-300.jpg"
"Весна (карт.разр.)";"";"RS-Д-603";"RUB";"218,75";"1";"";"";"";"от 3 лет";"";"Весна (карт.разр.)";"";"";"vesna-kartrazr--rs-d-603";"";"";"15x15x1.8";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Kartinrirazreznii/%d0%b4-603-300.jpg"
"Африканские животные (карт.разр.)";"";"RS-Д-074";"RUB";"225,00";"1";"";"";"";"от 3 лет";"";"Африканские животные (карт.разр.)";"";"";"afrikanskie-zhivotnye-kartrazr--rs-d-074";"";"";"21x19.5x2";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Kartinrirazreznii/%d0%b0%d1%84%d1%80%d0%b8%d0%ba%d0%b0%2074.jpg300.jpg"
