Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"Тип товаров""META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;"Возраст детей";Страна-производитель;Материал;Изображения
"Temporary2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"!LavaToys";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"!!Бегемоты";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Медведь светящийся малый";"";"LVS-8332B";"RUB";"399";"1";"799";"";"";"Издает звук  при нажатии на игрушку";"";"Медведь светящийся малый";"";"";"medved-svetyashchiysya-malyy-lvs-8332b";"";"";"Высота: 24 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/ef/79/ef79cf398530f2b4352b35dafea2240f.jpg"
"Медведь светящийся";"";"LVS-8332";"RUB";"499";"1";"1199";"";"";"Издает звук  при нажатии на игрушку";"";"Медведь светящийся";"";"";"medved-svetyashchiysya-lvs-8332";"";"";"Высота: 28 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/08/a3/08a3a6dcb45db837b27bd81a8c36357e.jpg"
"Медведь Сафрон";"";"LVS-8453";"RUB";"299";"1";"599";"";"";"Издает звук «Я по ягоды ходил» при нажатии на игрушку";"";"Медведь Сафрон";"";"";"medved-safron-lvs-8453";"";"";"Высота: 23 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/b1/00/b1007f51930f24e19667115aba6cfaaf.jpg"
"Медведь с красным сердцем";"";"LVS-1096A";"RUB";"399";"1";"569";"";"";"Издает звук «Ах, как я тебя люблю» при нажатии на игрушку";"";"Медведь с красным сердцем";"";"";"medved-s-krasnym-serdtsem-lvs-1096a";"";"";"Высота: 22 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/35/ce/35ce9f831e411d9d65d79ceb745d12de.jpg"
"Медведь с декоративными сердечками";"";"LVS-867";"RUB";"499";"1";"669";"";"";"Издает звук «Ой, как ты мне нравишься» при нажатии на игрушку";"";"Медведь с декоративными сердечками";"";"";"medved-s-dekorativnymi-serdechkami-lvs-867";"";"";"Высота: 26 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/9c/42/9c42ae17a9a623c5007fbd27b7e9571d.jpg"
"Медведь с декоративными пятками";"";"LVS-8517";"RUB";"299";"1";"499";"";"";"Издает звук «Сердце бьётся тук-тук-тук» при нажатии на игрушку";"";"Медведь с декоративными пятками";"";"";"medved-s-dekorativnymi-pyatkami-lvs-8517";"";"";"Высота: 22 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/85/76/85769ff9ec29f47a5711d2e7486eafc3.jpg"
"Медведь с декоративным сердцем малый";"";"LVS-863A";"RUB";"499";"1";"699";"";"";"Издает звук «Как прекрасен этот миг» при нажатии на игрушку";"";"Медведь с декоративным сердцем малый";"";"";"medved-s-dekorativnym-serdtsem-malyy-lvs-863a";"";"";"Высота: 25 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/91/cf/91cf2fee8b2cf847a308eaaf8df297c5.jpg"
"Медведь с декоративным сердцем большой";"";"LVS-863B";"RUB";"699";"1";"1299";"";"";"Издает звук «Как прекрасен этот миг» при нажатии на игрушку";"";"Медведь с декоративным сердцем большой";"";"";"medved-s-dekorativnym-serdtsem-bolshoy-lvs-863b";"";"";"Высота: 32,5 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/b5/ff/b5ffa247c9c0b85ee393c219436eda1d.jpg"
"Медведь с декоративным бантом";"";"LVS-8415A";"RUB";"999";"1";"1999";"";"";"Издает звук «Мишка в штанишках» при нажатии на игрушку";"";"Медведь с декоративным бантом";"";"";"medved-s-dekorativnym-bantom-lvs-8415a";"";"";"Высота: 38 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/cc/15/cc157d44ff2d0e22b59cf11dc7312fe4.jpg"
"Медведь с голубым бантом малый";"";"LVS-8702A";"RUB";"269";"1";"399";"";"";"Издает звук «Сердце бьётся тук-тук-тук» при нажатии на игрушку";"";"Медведь с голубым бантом малый";"";"";"medved-s-golubym-bantom-malyy-lvs-8702a";"";"";"Высота: 16,5 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/52/09/52091daf53edcc396ee19d63e1ca562f.jpg"
"Медведь с голубым бантом большой";"";"LVS-8702";"RUB";"399";"1";"599";"";"";"Издает звук «Я по ягоды ходил» при нажатии на игрушку";"";"Медведь с голубым бантом большой";"";"";"medved-s-golubym-bantom-bolshoy-lvs-8702";"";"";"Высота: 24 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/bb/55/bb5581200b6e73a63d6d0d879e26f7dc.jpg"
"Медведь Оливер в русском наряде";"";"LVS-8787A";"RUB";"199";"1";"399";"";"";"Издает звук «Выйду из леса, гляну на село» при нажатии на игрушку";"";"Медведь Оливер в русском наряде";"";"";"medved-oliver-v-russkom-naryade-lvs-8787a";"";"";"Высота: 24 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/b6/b1/b6b1047b22bdea117cb8ce3752eaf8ff.jpg"
"Медведь Оливер в курточке";"";"LVS-8787B";"RUB";"199";"1";"399";"";"";"Издает звук «Сердце бьётся тук-тук-тук» при нажатии на игрушку";"";"Медведь Оливер в курточке";"";"";"medved-oliver-v-kurtochke-lvs-8787b";"";"";"Высота: 24 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/31/6e/316e9a65990589a23a42cd1eb2b22bc7.jpg"
"Медведь Оливер в вельветовых штанишках";"";"LVS-8787C";"RUB";"199";"1";"399";"";"";"Издает звук «Я по ягоды ходил» при нажатии на игрушку";"";"Медведь Оливер в вельветовых штанишках";"";"";"medved-oliver-v-velvetovykh-shtanishkakh-lvs-8787c";"";"";"Высота: 24 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/dc/36/dc361879148eab1fb3051c8fef023a7f.jpg"
"Медведь Оливер";"";"LVS-8787";"RUB";"199";"1";"399";"";"";"Издает звук «Букетик для тебя» при нажатии на игрушку";"";"Медведь Оливер";"";"";"medved-oliver-lvs-8787";"";"";"Высота: 24 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/e2/a2/e2a2cac12591217e3dc8c81766d80c4e.jpg"
"Медведь Ларс";"";"LVS-1076";"RUB";"369";"1";"799";"";"";"Издает звук «Ты постой, постой, красавица моя» при нажатии на игрушку";"";"Медведь Ларс";"";"";"medved-lars-lvs-1076";"";"";"Высота: 29 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/7c/3c/7c3c865ad41555fb0e0d0d206b6782b5.jpg"
"Медведь коричневый / бежевый";"";"LVS-8186D";"RUB";"499";"1";"1199";"";"";"Издает звук «Я по ягоды ходил» при нажатии на игрушку";"";"Медведь коричневый / бежевый";"";"";"medved-korichnevyy--bezhevyy-lvs-8186d";"";"";"Высота: 33,5 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/b6/a1/b6a1cde79e202bc76f0f8da3c2ce52ad.jpg"
"Медведь классический с бантом";"";"LVS-1064";"RUB";"499";"1";"899";"";"";"Издает звук «Ой, как ты мне нравишься» при нажатии на игрушку";"";"Медведь классический с бантом";"";"";"medved-klassicheskiy-s-bantom-lvs-1064";"";"";"Высота: 28 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/a7/b4/a7b4d77963e259bbedede14d45b5fd14.jpg"
"Медведь декоративный светлый мини";"";"LVS-1054A";"RUB";"299";"1";"399";"";"";"Издает звук «Как прекрасен этот миг» при нажатии на игрушку";"";"Медведь декоративный светлый мини";"";"";"medved-dekorativnyy-svetlyy-mini-lvs-1054a";"";"";"Высота: 20 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/04/44/044491c939772b2d70362a6b3740f583.jpg"
"Медведь декоративный нежный малый";"";"LVS-660C";"RUB";"499";"1";"669";"";"";"Издает звук «О любви» при нажатии на игрушку";"";"Медведь декоративный нежный малый";"";"";"medved-dekorativnyy-nezhnyy-malyy-lvs-660c";"";"";"Высота: 26 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/ac/4d/ac4de1d2d0558c7f4fed19a62a62adb8.jpg"
"Медведь декоративный мини";"";"LVS-1054";"RUB";"399";"1";"";"";"";"Издает звук «Как мне хорошо с тобой» при нажатии на игрушку";"";"Медведь декоративный мини";"";"";"medved-dekorativnyy-mini-lvs-1054";"";"";"Высота: 20 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/4d/a5/4da5506666f018c599215107ac2f8f3b.jpg"
"Медведь декоративный малый";"";"LVS-660B";"RUB";"499";"1";"669";"";"";"Издает звук «Выйду из леса, гляну на село» при нажатии на игрушку";"";"Медведь декоративный малый";"";"";"medved-dekorativnyy-malyy-lvs-660b";"";"";"Высота: 26 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/c9/bb/c9bb51d34c4ef460d11676297ec19a88.jpg"
"Медведь декоративный большой";"";"LVS-544B";"RUB";"599";"1";"999";"";"";"Издает звук «Возьми меня на ручки» при нажатии на игрушку";"";"Медведь декоративный большой";"";"";"medved-dekorativnyy-bolshoy-lvs-544b";"";"";"Высота: 34 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/b5/af/b5af84b81f346326a2d4145e384a94e0.jpg"
"Медведь Берни с конвертом";"";"LVS-8533K";"RUB";"299";"1";"399";"";"";"Издает звук «Как мне хорошо с тобой» при нажатии на игрушку";"";"Медведь Берни с конвертом";"";"";"medved-berni-s-konvertom-lvs-8533k";"";"";"Высота: 18 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/3f/5f/3f5f1122abbb14da8e12f50760165045.jpg"
"Медведь Берни с декоративным бантом малый";"";"LVS-8533J";"RUB";"299";"1";"399";"";"";"Издает звук «Я иду тебя искать» при нажатии на игрушку";"";"Медведь Берни с декоративным бантом малый";"";"";"medved-berni-s-dekorativnym-bantom-malyy-lvs-8533j";"";"";"Высота: 18 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/be/c1/bec183f272bde2c47511bfb0fde9a674.jpg"
"Медведь Берни малый";"";"LVS-8533A";"RUB";"199";"1";"399";"";"";"Издает звук «Выйду из леса, гляну на село» при нажатии на игрушку";"";"Медведь Берни малый";"";"";"medved-berni-malyy-lvs-8533a";"";"";"Высота: 18 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/5b/ca/5bca92772e1c76f4c8ddedf48e31546a.jpg"
"Медведь Берни декоративный";"";"LVS-8533E";"RUB";"299";"1";"399";"";"";"Издает звук «Как мне хорошо с тобой» при нажатии на игрушку";"";"Медведь Берни декоративный";"";"";"medved-berni-dekorativnyy-lvs-8533e";"";"";"Высота: 18 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/7e/90/7e901711d0e13075dccc601478b18238.jpg"
"Медведь Берни в жилетке малый";"";"LVS-8533F";"RUB";"299";"1";"399";"";"";"Издает звук «Ой, как ты мне нравишься» при нажатии на игрушку";"";"Медведь Берни в жилетке малый";"";"";"medved-berni-v-zhiletke-malyy-lvs-8533f";"";"";"Высота: 18 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/38/a8/38a82aefcb966fb09bef0caee264976a.jpg"
"Медведь Берни";"";"LVS-8533";"RUB";"319";"1";"469";"";"";"Издает звук «Ах, как я тебя люблю» при нажатии на игрушку";"";"Медведь Берни";"";"";"medved-berni-lvs-8533";"";"";"Высота: 21,5 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/58/3b/583b397630e59bc92495be3ca849d537.jpg"
"Медведь белый с сердцем малый";"";"LVS-284A";"RUB";"499";"1";"899";"";"";"Издает звук «Как мне хорошо с тобой» при нажатии на игрушку";"";"Медведь белый с сердцем малый";"";"";"medved-belyy-s-serdtsem-malyy-lvs-284a";"";"";"Высота: 26 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/f2/08/f20897ae8eb99234c3c56e6077ae09b7.jpg"
"Медведь белый с сердцем большой";"";"LVS-284B";"RUB";"799";"1";"1699";"";"";"Издает звук «Как мне хорошо с тобой» при нажатии на игрушку";"";"Медведь белый с сердцем большой";"";"";"medved-belyy-s-serdtsem-bolshoy-lvs-284b";"";"";"Высота: 34 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/f1/c4/f1c4823b92813e646d8070109bd9c044.jpg"
"Медведь белый с красным бантом малый";"";"LVS-1136A";"RUB";"499";"1";"699";"";"";"Издает звук «Ах, как я тебя люблю» при нажатии на игрушку";"";"Медведь белый с красным бантом малый";"";"";"medved-belyy-s-krasnym-bantom-malyy-lvs-1136a";"";"";"Высота: 25 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/4a/21/4a21e07843aa6681013a26e04a4c2c10.jpg"
"Медведь белый с красным бантом большой";"";"LVS-1136B";"RUB";"699";"1";"1199";"";"";"Издает звук «Ах, как я тебя люблю» при нажатии на игрушку";"";"Медведь белый с красным бантом большой";"";"";"medved-belyy-s-krasnym-bantom-bolshoy-lvs-1136b";"";"";"Высота: 31 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/46/13/461326b171a72d887773dd55bd8c6f6c.jpg"
"Медведь белый с декоративным бантом";"";"LVS-8415B";"RUB";"999";"1";"1999";"";"";"Издает звук «Как мне хорошо с тобой» при нажатии на игрушку";"";"Медведь белый с декоративным бантом";"";"";"medved-belyy-s-dekorativnym-bantom-lvs-8415b";"";"";"Высота: 38 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/e6/68/e668010553a8f6b5537df5fa9526ac51.jpg"
"Медведь белый с бантом большой";"";"LVS-544A";"RUB";"699";"1";"1199";"";"";"Издает звук «Сердце бьётся тук-тук-тук» при нажатии на игрушку";"";"Медведь белый с бантом большой";"";"";"medved-belyy-s-bantom-bolshoy-lvs-544a";"";"";"Высота: 31 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/ee/b7/eeb7444f760a4750e96ba1ad2ba35ce6.jpg"
"Медведь Барри малый";"";"LVS-8545A";"RUB";"599";"1";"899";"";"";"Издает звук «Мишка в штанишках» при нажатии на игрушку";"";"Медведь Барри малый";"";"";"medved-barri-malyy-lvs-8545a";"";"";"Высота: 29 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/13/d5/13d55224a5ee5ab7bf4abd89f66a80b6.jpg"
"Медведь Амурчик с букетом роз";"";"LVS-1232";"RUB";"349";"1";"429";"";"";"Издает звук «Букетик для тебя» при нажатии на игрушку";"";"Медведь Амурчик с букетом роз";"";"";"medved-amurchik-s-buketom-roz-lvs-1232";"";"";"Высота: 18 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/df/cb/dfcbb30c7fd8886b523fb8754c854eb4.jpg"
"Медведь Алекс";"";"LVS-1198";"RUB";"369";"1";"569";"";"";"Издает звук «Возьми меня на ручки» при нажатии на игрушку";"";"Медведь Алекс";"";"";"medved-aleks-lvs-1198";"";"";"Высота: 23 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/17/49/174947f08a11c631ea669a533d09b13b.jpg"
"Медведь / медведица в свадебном наряде";"";"LVS-8819";"RUB";"169";"1";"399";"";"";"Издает звук «О любви» при нажатии на игрушку";"";"Медведь / медведица в свадебном наряде";"";"";"medved--medveditsa-v-svadebnom-naryade-lvs-8819";"";"";"Высота: 24 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/19/c0/19c06a0043f3057abc61ec56f8ea6e64.jpg"
"Медведица с малышом сидящая";"";"LVS-8620";"RUB";"499";"1";"899";"";"";"Издает звук «Спи, дружочек, баю-бай» при нажатии на игрушку";"";"Медведица с малышом сидящая";"";"";"medveditsa-s-malyshom-sidyashchaya-lvs-8620";"";"";"Высота: 23,5 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/53/d4/53d430ee98dce7e479d933c9942267f4.jpg"
"Медведица Оливия в русском наряде";"";"LVS-8788A";"RUB";"199";"1";"399";"";"";"Издает звук «Сударыня-барыня» при нажатии на игрушку";"";"Медведица Оливия в русском наряде";"";"";"medveditsa-oliviya-v-russkom-naryade-lvs-8788a";"";"";"Высота: 24 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/b0/9f/b09f7d2f586c0c6f2e7d7f0806421832.jpg"
"Медведица Оливия";"";"LVS-8788";"RUB";"199";"1";"399";"";"";"Издает звук «Красота вокруг какая» при нажатии на игрушку";"";"Медведица Оливия";"";"";"medveditsa-oliviya-lvs-8788";"";"";"Высота: 24 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/da/f8/daf8f8c86cf5779c1c1a2132a1779d30.jpg"
"!!Медвежонок Ники";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Медвежонок Ники с тюльпаном";"";"LVS-8786C";"RUB";"299";"1";"599";"";"";"Издает звук «Ой, как ты мне нравишься» при нажатии на игрушку";"";"Медвежонок Ники с тюльпаном";"";"";"medvezhonok-niki-s-tyulpanom-lvs-8786c";"";"";"Высота: 21,5 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/e6/5a/e65ae17199a621b8768472434e32bd53.jpg"
"Медвежонок Ники с тортом";"";"LVS-8786K";"RUB";"199";"1";"599";"";"";"Издает звук «Сердце бьётся тук-тук-тук» при нажатии на игрушку";"";"Медвежонок Ники с тортом";"";"";"medvezhonok-niki-s-tortom-lvs-8786k";"";"";"Высота: 21,5 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/c6/23/c62372bdc843acbe9735705881d22aa6.jpg"
"Медвежонок Ники с клетчатым бантом";"";"LVS-8786H";"RUB";"299";"1";"599";"";"";"Издает звук «Как мне хорошо с тобой» при нажатии на игрушку";"";"Медвежонок Ники с клетчатым бантом";"";"";"medvezhonok-niki-s-kletchatym-bantom-lvs-8786h";"";"";"Высота: 21,5 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/44/de/44de34e85637aaf012d0100164a6978a.jpg"
"Медвежонок Ники в футболке с синим орнаментом";"";"LVS-8786J";"RUB";"299";"1";"599";"";"";"Издает звук «Выйду из леса, гляну на село» при нажатии на игрушку";"";"Медвежонок Ники в футболке с синим орнаментом";"";"";"medvezhonok-niki-v-futbolke-s-sinim-ornamentom-lvs-8786j";"";"";"Высота: 21,5 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/ce/12/ce12d2b56e667300026a31fd28cfafc9.jpg"
"Медвежонок Ники в футболке с молнией";"";"LVS-8786G";"RUB";"199";"1";"599";"";"";"Издает звук «Сердце бьётся тук-тук-тук» при нажатии на игрушку";"";"Медвежонок Ники в футболке с молнией";"";"";"medvezhonok-niki-v-futbolke-s-molniey-lvs-8786g";"";"";"Высота: 21,5 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/c8/0d/c80d504f79fcf9b9cc44578ff768383f.jpg"
"Медвежонок Ники в футболке с машинкой";"";"LVS-8786E";"RUB";"299";"1";"599";"";"";"Издает звук «Друг такой мне очень нужен» при нажатии на игрушку";"";"Медвежонок Ники в футболке с машинкой";"";"";"medvezhonok-niki-v-futbolke-s-mashinkoy-lvs-8786e";"";"";"Высота: 21,5 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/15/77/157740b323e81eba127d51e3e2c81e8e.jpg"
"Медвежонок Ники в футболке с матрёшкой";"";"LVS-8786D";"RUB";"599";"1";"";"";"";"Издает звук «Ой, как ты мне нравишься» при нажатии на игрушку";"";"Медвежонок Ники в футболке с матрёшкой";"";"";"medvezhonok-niki-v-futbolke-s-matrёshkoy-lvs-8786d";"";"";"";"";"";"";"http://www.lavatoys.ru/media/thumbs/20/c4/20c4a5fc3de5eea1e15ec53279f17adb.jpg"
"Медвежонок Ники в футболке с блестящим сердцем";"";"LVS-8786A";"RUB";"299";"1";"599";"";"";"Издает звук «Ой, как ты мне нравишься» при нажатии на игрушку";"";"Медвежонок Ники в футболке с блестящим сердцем";"";"";"medvezhonok-niki-v-futbolke-s-blestyashchim-serdtsem-lvs-8786a";"";"";"Высота: 21,5 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/e3/59/e359516d5993429c7165c04a515b4423.jpg"
"Медвежонок Ники в синей кофточке с бантиками";"";"LVS-8786L";"RUB";"299";"1";"599";"";"";"Издает звук «Как мне хорошо с тобой» при нажатии на игрушку";"";"Медвежонок Ники в синей кофточке с бантиками";"";"";"medvezhonok-niki-v-siney-koftochke-s-bantikami-lvs-8786l";"";"";"Высота: 21,5 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/b9/b3/b9b3bd274a0e15b54653ae1164c4ccf1.jpg"
"Медвежонок Ники в свитере с блёстками";"";"LVS-8786F";"RUB";"299";"1";"599";"";"";"Издает звук «Сердце бьётся тук-тук-тук» при нажатии на игрушку";"";"Медвежонок Ники в свитере с блёстками";"";"";"medvezhonok-niki-v-svitere-s-blёstkami-lvs-8786f";"";"";"Высота: 21,5 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/ed/95/ed95dee9a33880c78bd6dfc5e7a0a21b.jpg"
"Медвежонок Ники в матроске с якорем";"";"LVS-8786B";"RUB";"299";"1";"599";"";"";"Издает звук «Мы с тобою неразлучны» при нажатии на игрушку";"";"Медвежонок Ники в матроске с якорем";"";"";"medvezhonok-niki-v-matroske-s-yakorem-lvs-8786b";"";"";"Высота: 21,5 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/36/3d/363d68e984ec97ca07b9baf8badff582.jpg"
"!!Медвежонок Сэмми";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Медвежонок Сэмми с ромашками";"";"LVS-8733E";"RUB";"199";"1";"369";"";"";"Издает звук «С праздником я поздравляю» при нажатии на игрушку";"";"Медвежонок Сэмми с ромашками";"";"";"medvezhonok-semmi-s-romashkami-lvs-8733e";"";"";"Высота: 18 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/d8/02/d8020811edee185cf316be3dffe6eb97.jpg"
"Медвежонок Сэмми с незабудками";"";"LVS-8733S";"RUB";"199";"1";"369";"";"";"Издает звук «С праздником я поздравляю» при нажатии на игрушку";"";"Медвежонок Сэмми с незабудками";"";"";"medvezhonok-semmi-s-nezabudkami-lvs-8733s";"";"";"Высота: 17,5 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/24/92/249212ee287151b6118e2f66b2b720ab.jpg"
"Медвежонок Сэмми с нарциссами";"";"LVS-8733T";"RUB";"199";"1";"369";"";"";"Издает звук «С праздником я поздравляю» при нажатии на игрушку";"";"Медвежонок Сэмми с нарциссами";"";"";"medvezhonok-semmi-s-nartsissami-lvs-8733t";"";"";"Высота: 17,5 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/26/2b/262b41b265ec6e208978ba74fc1a9ed8.jpg"
"Медвежонок Сэмми с маками";"";"LVS-8733G";"RUB";"199";"1";"369";"";"";"Издает звук «Ой, как ты мне нравишься» при нажатии на игрушку";"";"Медвежонок Сэмми с маками";"";"";"medvezhonok-semmi-s-makami-lvs-8733g";"";"";"Высота: 18 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/e6/b6/e6b6af38437f428d36476179e738b30b.jpg"
"Медвежонок Сэмми с красной каллой";"";"LVS-8733N";"RUB";"199";"1";"369";"";"";"Издает звук «Яркие цветочки у меня в садочке» при нажатии на игрушку";"";"Медвежонок Сэмми с красной каллой";"";"";"medvezhonok-semmi-s-krasnoy-kalloy-lvs-8733n";"";"";"Высота: 17,5 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/35/b8/35b88be3fecd5b7843f752c6fe8ce117.jpg"
"Медвежонок Сэмми с ирисом";"";"LVS-8733M";"RUB";"199";"1";"369";"";"";"Издает звук «Яркие цветочки у меня в садочке» при нажатии на игрушку";"";"Медвежонок Сэмми с ирисом";"";"";"medvezhonok-semmi-s-irisom-lvs-8733m";"";"";"Высота: 17,5 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/00/70/0070676d3ba83f148ea6e590e7f84ffd.jpg"
"Медвежонок Сэмми с гвоздиками";"";"LVS-8733Q";"RUB";"199";"1";"369";"";"";"Издает звук «Ярко солнце светит» при нажатии на игрушку";"";"Медвежонок Сэмми с гвоздиками";"";"";"medvezhonok-semmi-s-gvozdikami-lvs-8733q";"";"";"Высота: 17,5 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/4f/5a/4f5a6f46c9c2d373ffd00e6ac98ea79f.jpg"
"Медвежонок Сэмми с васильками";"";"LVS-8733F";"RUB";"199";"1";"369";"";"";"Издает звук «Выйду из леса, гляну на село» при нажатии на игрушку";"";"Медвежонок Сэмми с васильками";"";"";"medvezhonok-semmi-s-vasilkami-lvs-8733f";"";"";"Высота: 18 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/3f/92/3f92eb1638b0f18c7aa511fe2488d52d.jpg"
"Медвежонок Сэмми в кофточке с декоративным сердечком";"";"LVS-8733J";"RUB";"199";"1";"369";"";"";"Издает звук «Возьми меня на ручки» при нажатии на игрушку";"";"Медвежонок Сэмми в кофточке с декоративным сердечком";"";"";"medvezhonok-semmi-v-koftochke-s-dekorativnym-serdechkom-lvs-8733j";"";"";"Высота: 18 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/2a/6c/2a6cb4bb5c789a16ab903be5292d21fd.jpg"
"Медвежонок Сэмми в клетчатых штанишках";"";"LVS-8733A";"RUB";"199";"1";"369";"";"";"Издает звук «Мишка в штанишках» при нажатии на игрушку";"";"Медвежонок Сэмми в клетчатых штанишках";"";"";"medvezhonok-semmi-v-kletchatykh-shtanishkakh-lvs-8733a";"";"";"Высота: 18 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/ee/83/ee83aeb881010168e108f8c1034fa71d.jpg"
"!!Морские животные";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Нерпа";"";"LVS-1196";"RUB";"199";"1";"399";"";"";"Издает звук «Задорный смех» при нажатии на игрушку";"";"Нерпа";"";"";"nerpa-lvs-1196";"";"";"Высота: 25 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/e5/e8/e5e84a378bbcdfbad71ff2389853cc5e.jpg"
"Дельфин";"";"LVS-1163";"RUB";"199";"1";"399";"";"";"Издает звук «Где твоя ложечка?» при нажатии на игрушку";"";"Дельфин";"";"";"delfin-lvs-1163";"";"";"Высота: 21 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/f5/f6/f5f656d3cb7933dd1b260cf69b393da8.jpg"
"Белёк";"";"LVS-8773";"RUB";"399";"1";"599";"";"";"Издает звук «Задорный смех» при нажатии на игрушку";"";"Белёк";"";"";"belёk-lvs-8773";"";"";"Высота: 34 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/3c/89/3c89b5af90e15a543b7b881339682a9c.jpg"
"!!Морские свинки";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Морская свинка";"";"LVS-1244";"RUB";"169";"1";"399";"";"";"Издает звук «Чем так вкусно пахнет» при нажатии на игрушку";"";"Морская свинка";"";"";"morskaya-svinka-lvs-1244";"";"";"Высота: 18 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/ef/d4/efd4154aa5e16f326c0822cf4ca477b0.jpg"
"!!Насекомые";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Пчёлка малая";"";"LVS-8594";"RUB";"299";"1";"399";"";"";"Издает звук «Я увидеть мир хочу» при нажатии на игрушку";"";"Пчёлка малая";"";"";"pchёlka-malaya-lvs-8594";"";"";"Высота: 18,5 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/b4/06/b40667fcee5a49b95b071a9b7c909d7f.jpg"
