Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"Тип товаров""META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;"Возраст детей";Страна-производитель;Материал;Изображения;Изображения;Изображения;Изображения
"!! Антикоррозионные средства";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Welding Protection L 13";"";"";"RUB";"";"1";"";"";"";"Готовое к применению не содержащее силикона разделительное средство для сварочных работ. Применяется для низко- и высоколегированных сталей и алюминия. Обладает превосходным антиадгезионным действием.<br><br>Спецификации и лицензии<br><strong>WELDING PROTECTION L 13:</strong> V20 = 2,4 мм²/с";"";"Welding Protection L 13";"";"";"welding-protection-l-13";"";"";"";"";"";"";"";"";"";""
"Penta-Fluid DW 08";"";"";"RUB";"";"1";"";"";"";"Антикоррозионное средство на основе минеральных масел для консервации полированных и химически или гальванически обработанных поверхностей из черных металлов.<br><br>Спецификации и лицензии <br><strong>PENTA-FLUID DW 08:</strong> вязкость при 40°С около 8 мм²/с";"";"Penta-Fluid DW 08";"";"";"penta-fluid-dw-08";"";"";"";"";"";"";"";"";"";""
"Waffenöl W 18";"";"";"RUB";"";"1";"";"";"";"Синтетическое оружейное масло для смазки, консервации и чистки оружия. Применяется в диапазоне температур от −55°С до +150°С. Имеется также в аэрозольной упаковке.<br><br>Спецификации и лицензии <br><strong>WAFFENÖL W 18:</strong> Бундесвер TL 9150-0078 (код BW: OY 1045); код NATO: S-761; вязкость при 40°С около 18 мм²/с<br><br><strong>EAN код Waffenöl W 18 1L:</strong> 4014766070487";"";"Waffenöl W 18";"";"";"waffenöl-w-18";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/relvaõli W18 1l.jpg";"";"";""
"Kriechöl";"";"";"RUB";"";"1";"";"";"";"Водовытесняющее антикоррозионное масло, способное растворять ржавчину, обладает хорошей проникающей способностью, образует тонкую маслянистую пленку. Имеется также в аэрозольной упаковке.<br><br>Спецификации и лицензии <br><strong>KRIECHÖL:</strong> вязкость при 20°С около 3,4 мм²/с";"";"Kriechöl";"";"";"kriechöl";"";"";"";"";"";"";"";"";"";""
"Korrosionsschutzöl KO 6-F (также в виде аэрозоля)";"";"";"RUB";"";"1";"";"";"";"Содержащее растворитель антикоррозионное средство, обладающее водовытесняющими свойствами и хорошей проникающей способностью, образует тонкую пленку (от маслянистой до кремовой) для временной защиты металлических поверхностей. <br><br>Спецификации и лицензии <br><strong>KO 6 F:</strong> вязкость при 20°С ≈ 5,5 мм²/с";"";"Korrosionsschutzöl KO 6-F (также в виде аэрозоля)";"";"";"korrosionsschutzöl-ko-6-f-takzhe-v-vide-aerozolya";"";"";"";"";"";"";"";"";"";""
"Korrosionsschutzöle KO 7 C, KO 32 C, KO 220 C";"";"";"RUB";"";"1";"";"";"";"Не содержащие растворителя масла для временной защиты черных металлов от коррозии.<br><br>Спецификации и лицензии <strong></strong><br><strong>KO 7 C:</strong> V40 = 7,3 мм²/с<br><strong>KO 32 C:</strong> V40 = 30 мм²/с<br><strong>KO 220 C:</strong> V40 = 222 мм²/с";"";"Korrosionsschutzöle KO 7 C, KO 32 C, KO 220 C";"";"";"korrosionsschutzöle-ko-7-c-ko-32-c-ko-220-c";"";"";"";"";"";"";"";"";"";""
"Addicor 220, 320";"";"";"RUB";"";"1";"";"";"";"Антикоррозионные масла на основе минерального масла, предназначенные для временной защиты от ржавления и коррозии цветных металлов. Продукты характеризуются отличной несущей способностью, обеспечивают надежную защиту от износа и обладают высокой стойкостью к старению. Идеально подходят для консервации коробок передач на время складирования, а также для смазки закрытых передач, гидросистем, подшипников скольжения и качения, шарниров и направляющих.<br><br>Спецификации и лицензии<br><strong>ADDICOR 220:</strong> DIN 51517/3 (CLP); ISO 12925/1 (CKC); AGMA 9005-E02; лицензии: Hüber Getriebebau GmbH; Eisenbeiss<br><strong>ADDICOR 320:</strong> DIN 51517/3 (CLP); ISO 12925/1 (CKC); AGMA 9005-E02; лицензии: Hüber Getriebebau GmbH; Eisenbeiss";"";"Addicor 220, 320";"";"";"addicor-220-320";"";"";"";"";"";"";"";"";"";""
"!! Цепные масла";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Kettenöl 15 FG, 32 FG, 150 FG, 460 FG (также имеется в виде аэрозоля), 680 FG";"";"";"RUB";"";"1";"";"";"";"Специальные синтетические масла для смазки цепей транспортеров, функционирующих в пищевой, косметической и фармацевтической промышленности. Применяются также для смазки малонагруженных редукторов в пищевой промышленности. Диапазон температур применения: до +250 °C.<br><br>Спецификации и лицензии <br><strong>KETTENÖL 15 FG:</strong> V40 = 15 мм²/с; внесен в список NSF H1; выполняет требования: FDA 21 CFR 178.3570<br><strong>KETTENÖL 32 FG:</strong> V40 = 32 мм²/с; внесен в список NSF H1; выполняет требования: FDA 21 CFR 178.3570<br><strong>KETTENÖL 150 FG:</strong> V40 = 150 мм²/с; внесен в список NSF H1; выполняет требования: FDA 21 CFR 178.3570<br><strong>KETTENÖL 460 FG:</strong> V40 = 460 мм²/с; внесен в список NSF H1; выполняет требования: FDA 21 CFR 178.3570<br><strong>KETTENÖL 680 FG:</strong> V40 = 680 мм²/с; внесен в список NSF H1; выполняет требования: FDA 21 CFR 178.3570";"";"Kettenöl 15 FG, 32 FG, 150 FG, 460 FG (также имеется в виде аэрозоля), 680 FG";"";"";"kettenöl-15-fg-32-fg-150-fg-460-fg-takzhe-imeetsya-v-vide-aerozolya-680-fg";"";"";"";"";"";"";"";"";"";""
"WXA Spray";"";"";"RUB";"";"1";"";"";"";"Для смазки и временной консервации цепей транспортеров и конвейерных лент в пищевой, фармацевтической, бумажной и картонной промышленности. Диапазон температур применения: от -10 °C до +180 °C.<br><br>Спецификации и лицензии <br><strong>WXA SPRAY:</strong> V40 = 72 мм²/с; Deutsches Arzneibuch (DAB)*; European Pharmacopoeia (PhEur)*; British Pharmacopoeia (BP)*; Food and Drug Administration*; внесен в список NSF H1 (* в действующей редакции)<br><br><strong>EAN код WXA Spray 0,5L:</strong> 4014766072139";"";"WXA Spray";"";"";"wxa-spray";"";"";"";"";"";"";"";"";"";""
"Plantfluid";"";"";"RUB";"";"1";"";"";"";"Высокотемпературный смазочный материал, предназначенный для смазки ленточных и цепных транспортеров в пищевой промышленности. Используется также в печах непрерывного действия на хлебозаводах. Применяется в диапазоне от 0°C до +180°C.<br><br>Спецификации и лицензии<br><strong>PLANTFLUID:</strong> вязкость при 40°С ≈ 42 мм²/с; выполняет требования: FDA 21 CFR 178.3570";"";"Plantfluid";"";"";"plantfluid";"";"";"";"";"";"";"";"";"";""
"Ökoplus XS 68";"";"";"RUB";"";"1";"";"";"";"Биоразлагаемое масло для пильных цепей, изготовленное на основе растительного масла.<br><br>Спецификации и лицензии <br><strong>ÖKOPLUS XS 68:</strong> V40 = 67 мм²/с; выполняет требования директивы KWF Groß-Umstadt /куратория по лесным работам и лесной технике (KWF) зарегистрированного союза Groß-Umstadt; очень хорошая биоразлагаемость по CEC-L-33-T-82 ( > 95%).<br><br><strong>EAN код Ökoplus XS 68 1L:</strong> 4014766071927<br><strong>EAN код Ökoplus XS 68 5L: </strong>4014766240330";"";"Ökoplus XS 68";"";"";"ökoplus-xs-68";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/saeketiõli XS 68 1l.jpg";"";"";""
"Kettenhaft-Spray";"";"";"RUB";"";"1";"";"";"";"Полусинтетическое цепное масло в виде аэрозоля для смазки высоконагруженных мотоциклетных цепей и скоростных цепей в промышленности. Применяется в диапазоне от -30 до +130°C.<br><br><strong>EAN код Kettenhaft-Spray 0,4L:</strong> 4014766074096";"";"Kettenhaft-Spray";"";"";"kettenhaft-spray";"";"";"";"";"";"";"";"";"";""
"Haftöl 32, 100, 220";"";"";"RUB";"";"1";"";"";"";"Специальные масла на минеральной основе для смазки цепей, лесопильных рам и транспортных устройств различного вида. Идеально подходят для смазки<span><span style='color: #333333;'> деталей машин, подвергающихся сильным вибрациям, центробежным силам или интенсивному загрязнению. </span></span>Продукт Haftöl 100 особо рекомендуется для смазки скоростных пильных цепей.<br><br>Спецификации и лицензии <br><strong><strong>HAFTÖL 32: </strong><span>V40 = </span></strong>32 mm<sup>2</sup>/s <strong><strong><br></strong>HAFTÖL 100:</strong> V40 = 100 мм²/c<br><strong>HAFTÖL 220:</strong> V40 = 220 мм²/с<br><br><strong>EAN код Haftöl 100 5L:</strong> 4014766241122";"";"Haftöl 32, 100, 220";"";"";"haftöl-32-100-220";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/Haftöl 100 5l.jpg";"";"";""
"Glass Lube XHG 220";"";"";"RUB";"";"1";"";"";"";"Высокомощное синтетическое масло для смазки термически высоконагруженных пар трения в цепях, роликах и конвейерных лентах. Особо рекомендуется для смазки машин по производству пустотелого стекла и прочих агрегатов, использующихся в керамической промышленности и в производстве стекла. Применяется при температурах до +250 °C.<br><br>Спецификации и лицензии <br><strong>GLASS LUBE XHG 220:</strong> V40 = 228 мм²/с";"";"Glass Lube XHG 220";"";"";"glass-lube-xhg-220";"";"";"";"";"";"";"";"";"";""
"Cliptec XHS 150 HT";"";"";"RUB";"";"1";"";"";"";"Высокотемпературное синтетическое цепное масло для смазки цепных транспортеров и креплений. Рекомендуется использовать при высоких температурах и тяжелых условиях эксплуатации, напр., при обработке цветных металлов и пластмасс. Особо рекомендуется для установок по вытяжке пленок фирмы Brückner. Применяется при температурах до +250°C.";"";"Cliptec XHS 150 HT";"";"";"cliptec-xhs-150-ht";"";"";"";"";"";"";"";"";"";""
"Cliptec XHS 280";"";"";"RUB";"";"1";"";"";"";"Высокотемпературное синтетическое цепное масло для смазки цепных транспортеров и зажимов. Рекомендуется использовать при высоких температурах и трудных эксплуатационных условиях, напр., при обработке цветных металлов и пластмасс. Особо рекомендуется для установок по вытяжке пленок фирмы Brückner. Применяется при температурах до +260 °C.<br><br>Спецификации и лицензии <br><strong>CLIPTEC XHS 280:</strong> V<sub>40</sub>: 300 мм²/с; Brückner, Cellier; внесено в список NSF H2/HX-2";"";"Cliptec XHS 280";"";"";"cliptec-xhs-280";"";"";"";"";"";"";"";"";"";""
"Chain Bolt Fluid XHS 220";"";"";"RUB";"";"1";"";"";"";"Для смазки цепных транспортеров и зажимов в оборудовании по вытягиванию пленки. Используется также при высоких температурах и тяжелых условиях смазки при обработке цветных металлов или пластмасс, а также других высокотемпературных областях при температурах до <span><span><span style='color: #333333;'><span style='color: #333333;'>+220 °C</span></span></span></span>.";"";"Chain Bolt Fluid XHS 220";"";"";"chain-bolt-fluid-xhs-220";"";"";"";"";"";"";"";"";"";""
"Chain System Cleaner BR";"";"";"RUB";"";"1";"";"";"";"Высокоэффективный смазочный материал на основе сложных эфиров, предназначенный для очистки маслосистем, работающих на синтетических углеводородах. Используется также как высокотемпературная смазка для цепных транспортеров. Применяется при температурах до +150 °C.<br><br>Спецификации и лицензии <br><strong>CHAIN SYSTEM CLEANER BR:</strong> V40: прим. 50 мм²/с; Brückner";"";"Chain System Cleaner BR";"";"";"chain-system-cleaner-br";"";"";"";"";"";"";"";"";"";""
"Chain Lube XHT 150 Extra";"";"";"RUB";"";"1";"";"";"";"Термостойкий синтетический смазочный материал на основе сложных эфиров для конвейерных и приводных цепей. Цепное масло Chain Lube XHT 150 Extra применяется в первую очередь при производстве изоляционных, строительных и упаковочных материалов. Применяется при температурах до +260 °C.";"";"Chain Lube XHT 150 Extra";"";"";"chain-lube-xht-150-extra";"";"";"";"";"";"";"";"";"";""
"Chain Lube XHT 50...3000";"";"";"RUB";"";"1";"";"";"";"Высокотемпературные цепные масла на основе синтетических сложных эфиров разработаны для термически высоконагруженных конвейерных и приводных цепей, напр., на лакокрасочных, текстильных предприятиях, при обработке металлов под давлением. Применяются при температурах до +250°C; имеются также в аэрозольной упаковке.";"";"Chain Lube XHT 50...3000";"";"";"chain-lube-xht-503000";"";"";"";"";"";"";"";"";"";""
"Belt Lube HT 50, HT 100";"";"";"RUB";"";"1";"";"";"";"Синтетические смазочные материалы для термически высоконагруженных цепей, стержней и роликов. В первую очередь рекомендуется использовать при производстве древесностружечных и древесноволокнистых плит. Применяются при температурах до +250 °C.";"";"Belt Lube HT 50, HT 100";"";"";"belt-lube-ht-50-ht-100";"";"";"";"";"";"";"";"";"";""
"Belt Lube HT 215, HT 220";"";"";"RUB";"";"1";"";"";"";"Исключительно термостойкие смазочные материалы на основе синтетических компонентов с добавлением специальных присадок для термически высоконагруженных ленточных конвейеров, цепей и роликов. Продукты особо рекомендуются для автоматических линий прессов, печей, сушилок, а также для подобных высокотемпературных условий эксплуатации. <br><br>Спецификации и лицензии <br><strong>BELT LUBE HT 215:</strong> V40 = 265 мм²/с; рекомендации к применению: Siempelkamp, Dieffenbacher, Küsters<br><strong>BELT LUBE HT 220:</strong> V40 = 260 мм²/с; рекомендации к применению: Siempelkamp, Dieffenbacher, Küsters";"";"Belt Lube HT 215, HT 220";"";"";"belt-lube-ht-215-ht-220";"";"";"";"";"";"";"";"";"";""
"Spezialöl XH 220 A";"";"";"RUB";"";"1";"";"";"";"Полностью синтетическое масло для смазки термически высоконагруженных пар трения цепей, роликов и лент транспортеров, напр., в печах непрерывного действия, сушилках, формовочных прессах и прессах для пластического деформирования и т.п.; применяется на производстве стекла, изоляционных материалов, в текстильной, деревообрабатывающей промышленности, при обработке металлов и пластиков. Диапазон температур применения до +240 °C.<br><br>Спецификации и лицензии<br><strong>SPEZIALÖL XH 220 A:</strong> V40 = 225 мм²/с";"";"Spezialöl XH 220 A";"";"";"spezialöl-xh-220-a";"";"";"";"";"";"";"";"";"";""
"Roller Track Lube 100";"";"";"RUB";"";"1";"";"";"";"Исключительно термостойкий смазочный материал на синтетической основе со специальными присадками для низкоскоростных цепных транспортеров, шарнирных блоков и конвейеров с боковым креплением транспортных подвесок, идеально подходит для применения в цепных конвейерах с моечными и сушильными камерами и высоких температур печи, зарекомендовал себя, напр., в установках для нанесения порошковых покрытий. Диапазон температур применения: до +250 °C.<br><br>Спецификации и лицензии<br><strong>ROLLER TRACK LUBE 100: </strong>V40 = 105 мм²/с; EISENMANN, AL-CON, M&N Fördersysteme";"";"Roller Track Lube 100";"";"";"roller-track-lube-100";"";"";"";"";"";"";"";"";"";""
"Cliptec XHS 480";"";"";"RUB";"";"1";"";"";"";"Высокоэффективное синтетическое цепное масло для высоких температур и тяжелых условий эксплуатации. Эффективно предотвращает образование твердых корок и отложений. Применяется на конвейерах при высоких температурах, напр., при обработке стекла, цветных металлов, пластмасс и текстильных изделий. Особо рекомендуется для цепей самого последнего поколения и максимальных скоростей.<br><br>Спецификации и лицензии <br><strong>CLIPTEC XHS 480:</strong> V40: 375 мм<sup>2</sup>/с; Brückner";"";"Cliptec XHS 480";"";"";"cliptec-xhs-480";"";"";"";"";"";"";"";"";"";""
"Cliptec-Rollprotect XHS 240";"";"";"RUB";"";"1";"";"";"";"Высокоэффективный синтетический смазочный материал для смазки цепей, зажимов и роликов. Применяется на производстве пленки, предназначен для машин проходного типа, функционирующих при высоких рабочих температурах или при сильных перепадах температур, напр., печей непрерывного действия, сушилок, линий прессования.<br><br>Спецификации и лицензии<br><strong>CLIPTEC-ROLLPROTECT XHS 240:</strong> V40: 233 мм<sup>2</sup>/с; Brückner";"";"Cliptec-Rollprotect XHS 240";"";"";"cliptec-rollprotect-xhs-240";"";"";"";"";"";"";"";"";"";""
"Weave Oil XHS 290";"";"";"RUB";"";"1";"";"";"";"Высокоэффективный синтетический смазочный материал для смазки цепей при высоких нагрузках и температурах. Идеально подходит для скоростных цепей скольжения. Для смазки конвейерных, рамочных и натяжных цепей, а также роликов, шарниров, подшипников скольжения и качения.<br><br>Спецификации и лицензии<br><strong>WEAVE OIL XHS 290</strong>: V40: 290 мм<sup>2</sup>/с; предназначен для цепных систем в оборудовании следующих производителей: Benninger, Brückner Leonberg, Brazzoli, Dornier, Ratti";"";"Weave Oil XHS 290";"";"";"weave-oil-xhs-290";"";"";"";"";"";"";"";"";"";""
"Panel Lube XH 220";"";"";"RUB";"";"1";"";"";"";"Высокоэффективное синтетическое масло, изготовленное на основе термически стабильных насыщенных сложных эфиров для смазки термически высоконагруженных пар трения автоматических линий прессов, например, при производстве древесностружечных и древесноволокнистых плит, направляющих для стержней, работающих на изгиб в накатных стержнях и роликовых лентах, лент и цепей термически высоконагруженных прессов непрерывного действия; для применения в высокотемпературных условиях эксплуатации: в печах, сушилках, прессах и прочем оборудовании (текстильные и лакокрасочные предприятия, предприятия по производству стекла, строительных и изоляционных материалов). Диапазон температур применения: до +260 °C.";"";"Panel Lube XH 220";"";"";"panel-lube-xh-220";"";"";"";"";"";"";"";"";"";""
"!! Масла для холодильных машин";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Kältemaschinenöl XKS 46, XKS 100";"";"";"RUB";"";"1";"";"";"";"Синтетические масла для холодильных машин, изготовленные на основе ароматических углеводородов, прекрасно зарекомендовали себя на промышленных холодильных установках, холодильниках, пивоваренных заводах и т.д.";"";"Kältemaschinenöl XKS 46, XKS 100";"";"";"kältemaschinenöl-xks-46-xks-100";"";"";"";"";"";"";"";"";"";""
"!! Трансмиссионные масла промышленного назначения";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"FG Gear Oil 220";"";"";"RUB";"";"1";"";"";"";"Продукт, изготовленный на основе медицинского белого масла, применяется для смазки высоконагруженных редукторов и подшипников в пищевой, кормовой, фармацевтической и косметической промышленности. Редукторное масло FG Gear Oil 220 используется также в качестве циркуляционного масла и для смазки машин.<br> Диапазон температур применения: до +90 °C.<br><br>Спецификации и лицензии  <br><strong>Редукторное масло FG GEAR OIL 220:</strong> SAE 90; внесен в список NSF H1; соответствует требованиям FDA 21 CFR 178.3570";"";"FG Gear Oil 220";"";"";"fg-gear-oil-220";"";"";"";"";"";"";"";"";"";""
"Ecoleb 100 FG ... 680 FG";"";"";"RUB";"";"1";"";"";"";"Синтетические трансмиссионные масла для пищевой, кормовой, фармацевтической и косметической промышленности. Предназначены для смазки высоконагруженных редукторов и подшипников. Физиологически безопасные.<br>Диапазон температур применения: от -30 °C до +120 °C (кратковременно до +150 °C).<br><br>Спецификации и лицензии<br><strong>ECOLEB 100 FG:</strong> отвечает требованиям DIN 51517/3 (CLP), ISO 3448; выполняет требования: FDA 21 CFR 178.3570; NSF H1<br><strong>ECOLEB 150 FG:</strong> отвечает требованиям DIN 51517/3 (CLP), ISO 3448; выполняет требования: FDA 21 CFR 178.3570; NSF H1<br><strong>ECOLEB 220 FG:</strong> отвечает требованиям DIN 51517/3 (CLP), ISO 3448; выполняет требования: FDA 21 CFR 178.3570; NSF H1<br><strong>ECOLEB 320 FG:</strong> отвечает требованиям DIN 51517/3 (CLP), ISO 3448; выполняет требования: FDA 21 CFR 178.3570; NSF H1<br><strong>ECOLEB 460 FG:</strong> отвечает требованиям DIN 51517/3 (CLP), ISO 3448; выполняет требования: FDA 21 CFR 178.3570; NSF H1<br><strong>ECOLEB 680 FG:</strong> отвечает требованиям DIN 51517/3 (CLP), ISO 3448; выполняет требования: FDA 21 CFR 178.3570; NSF H1";"";"Ecoleb 100 FG ... 680 FG";"";"";"ecoleb-100-fg--680-fg";"";"";"";"";"";"";"";"";"";""
"Poly Gear PG 220 ... PG 680";"";"";"RUB";"";"1";"";"";"";"Синтетические масла на полигликолевой основе (масла типа PGLP) для смазки подшипников и редукторов. В первую очередь рекомендуются для подшипников скольжения и качения, функционирующих при высоких нагрузках. Идеально подходит для смазки червячных редукторов. Диапазон температур применения до +200 °С.";"";"Poly Gear PG 220 ... PG 680";"";"";"poly-gear-pg-220--pg-680";"";"";"";"";"";"";"";"";"";""
"Eco Gear 68 S-T";"";"";"RUB";"";"1";"";"";"";"Не содержащее силикона высокомощное синтетическое трансмиссионное масло промышленного назначения, изготовленное по технологии Surftec<sup>®</sup> для применения в закрытых промышленных передачах; отличается великолепными низкотемпературными свойствами (точка застывания ниже −50°С); прочие характеристики как у масел Eco Gear … S. В первую очередь рекомендуется для применения в холодных климатических зонах и на холодильниках.<br>Диапазон температур применения: <span><span style='color: #333333;'>от -40 °C до +120 °C.</span></span><br><br>Спецификации и лицензии <br><strong>ECO GEAR 68 ST:</strong> DIN 51517/3 (CLP HC); ISO 12925/1, лицензия Flender";"";"Eco Gear 68 S-T";"";"";"eco-gear-68-s-t";"";"";"";"";"";"";"";"";"";""
"Eco Gear 100 M ... 680 M";"";"";"RUB";"";"1";"";"";"";"Не содержащие силикона высокомощные трансмиссионные масла промышленного назначения, изготовленные по технологии Surftec®; предназначены для смазки закрытых промышленных редукторов, а также подшипников скольжения и качения, функционирующих при высоких нагрузках. Они предотвращают образование микропиттинга и питтинга; улучшают прирабатываемость; выравнивают поврежденные поверхности трения. Диапазон температур применения: от −10°С до +100°С.";"";"Eco Gear 100 M ... 680 M";"";"";"eco-gear-100-m--680-m";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/Eco Gear 680 M.jpg";"";"";""
"Gear Oil CLP 150 PM, 220 PM";"";"";"RUB";"";"1";"";"";"";"Трансмиссионные масла промышленного назначения на минеральной основе с безцинковыми и беззольными присадками. Рекомендуются для целлюлозно-бумажной промышленности. Отличная деэмульгирующая способность позволяет использовать продукты во влажной среде.";"";"Gear Oil CLP 150 PM, 220 PM";"";"";"gear-oil-clp-150-pm-220-pm";"";"";"";"";"";"";"";"";"";""
"Getriebeöl CKT 68 ... 460";"";"";"RUB";"";"1";"";"";"";"Синтетические трансмиссионные масла класса CLP на основе полиальфаолефинов (ПАО), предназначаются для закрытых редукторов, где используется циркуляционная смазка или метод погружения. Применяются в случаях, когда предъявляются повышенные требования к высокотемпературным или низкотемпературным свойствам смазки. Диапазон температур применения: от −30 °С до +120 °С.";"";"Getriebeöl CKT 68 ... 460";"";"";"getriebeöl-ckt-68--460";"";"";"";"";"";"";"";"";"";""
"Eco Gear 100 S ... 680 S";"";"";"RUB";"";"1";"";"";"";"Не содержащие силикона высокомощные синте­тические трансмиссионные масла промышленного назначения, изготовленные по технологии Surftec®;  предназначены для механически и термически высоконагруженных редукторов (напр., ветросиловые установки); предотвращают образование микропиттинга и питтинга; значительно удлиняют сроки службы машин и смазки; энергосберегающие; выравнивают поврежденные контактные поверхности.<br>Диапазон температур применения: от −30 °С до +120 °С (кратковременно +150 °С).<br><br>Спецификации и лицензии  <br><strong>Масло для редукторов ECO GEAR 100 S</strong>: DIN 51517/3 (CLP HC); ISO 12925/1, лицензия Flender и т.д.<br><strong>Масло для редукторов ECO GEAR 150 S</strong>: DIN 51517/3 (CLP HC); ISO 12925/1, лицензия Flender и т.д.<br> <strong>Масло для редукторов ECO GEAR 220 S:</strong> DIN 51517/3 (CLP HC); ISO 12925/1, лицензия Flender и т.д.<br> <strong>Масло для редукторов ECO GEAR 320 S:</strong> DIN 51517/3 (CLP HC); ISO 12925/1, лицензия Flender; <span><span style='color: #333333;'>лицензия Winergy Servicefill<br></span></span><strong>Масло для редукторов ECO GEAR 460 S:</strong> DIN 51517/3 (CLP HC); ISO 12925/1, лицензия Flender и т.д.<br><strong>Масло для редукторов ECO GEAR 680 S:</strong> DIN 51517/3 (CLP HC); ISO 12925/1, лицензия Flender и т.д.";"";"Eco Gear 100 S ... 680 S";"";"";"eco-gear-100-s--680-s";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/Eco Gear 320 S 5l.jpg";"";"";""
"Getriebeöl  CLP 68 ... CLP 680";"";"";"RUB";"";"1";"";"";"";"Масла на минеральной основе для закрытых промышленных редукторов c цилиндрическим, коническим и червячным зубчатым зацеплением; а также для обычно нагруженных подшипников скольжения и качения для смазки методом погружения или циркуляционной смазкой.<br>Диапазон температур применения: до +100 °C.";"";"Getriebeöl  CLP 68 ... CLP 680";"";"";"getriebeöl--clp-68--clp-680";"";"";"";"";"";"";"";"";"";""
"Gear Oil 100 F ... 680 F";"";"";"RUB";"";"1";"";"";"";"Трансмиссионные масла промышленного назначения на минеральной основе для смазки почти всех типов закрытых промышленных редукторов с прямозубым цилиндрическим зубчатым зацеплением или коническим зубчатым зацеплением; для смазки подшипников качения и скольжения, шарниров и направляющих, а также для смазки методом погружения или циркуляционной смазкой. Продукты предназначены для использования в условиях высоких нагрузок и при содержании инородных частиц (напр., в целлюлозно-бумажной промышленности). Диапазон температур применения до +100 °C.<br><br>Спецификации и лицензии<br><strong><strong>Редукторное масло </strong>GEAR OIL 100 F:</strong> DIN 51517/3 (CLP), ISO 12925/1, AGMA 9005-E02<br><strong>Редукторное масло GEAR OIL 150 F:</strong> DIN 51517/3 (CLP), ISO 12925/1, AGMA 9005-E02; лицензия: Siemens MD (Flender Rev. 15)<br><strong>Редукторное масло GEAR OIL 220 F:</strong> DIN 51517/3 (CLP), ISO 12925/1, AGMA 9005-E02; лицензия: Siemens MD (Flender Rev. 15)<br><strong>Редукторное масло GEAR OIL 320 F:</strong> DIN 51517/3 (CLP), ISO 12925/1, AGMA 9005-E02; лицензия: Siemens MD (Flender Rev. 15)<br><strong>Редукторное масло GEAR OIL 460 F:</strong> DIN 51517/3 (CLP), ISO 12925/1, AGMA 9005-E02; лицензия: Siemens MD (Flender Rev. 15)<br><strong>Редукторное масло GEAR OIL 680 F:</strong> DIN 51517/3 (CLP), ISO 12925/1, AGMA 9005-E02; лицензия: Siemens MD (Flender Rev. 15)";"";"Gear Oil 100 F ... 680 F";"";"";"gear-oil-100-f--680-f";"";"";"";"";"";"";"";"";"";""
"Getriebeöl CLP 68 MW, 100 MW, 150 MW";"";"";"RUB";"";"1";"";"";"";"Трансмиссионные масла на основе рафинатов минеральных масел для смазки практически всех типов закрытых промышленных редукторов и циркуляционных систем, подшипников качения и скольжения, шарниров и направляющих. Рекомендуются для применения в штамповочных прессах и прессах большой мощности; высокая несущая способность по задирам, идеально подходят для применения в последних линейках прессов Sсhuler. <br>Диапазон температур применения: до +100 °C.<br><br>Спецификации и лицензии <br><strong>GETRIEBEÖL CLP 68 MW:</strong> DIN 51517/3 (CLP), ISO 12925/1; Schuler DT 55 005<br><strong>GETRIEBEÖL CLP 100 MW</strong>: DIN 51517/3 (CLP), ISO 12925/1; Schuler DT 55 005 <br><strong>GETRIEBEÖL CLP 150 MW</strong>: DIN 51517/3 (CLP), ISO 12925/1; Schuler DT 55 005";"";"Getriebeöl CLP 68 MW, 100 MW, 150 MW";"";"";"getriebeöl-clp-68-mw-100-mw-150-mw";"";"";"";"";"";"";"";"";"";""
"FG Universal 46 ... 100";"";"";"RUB";"";"1";"";"";"";"Высокоэффективные синтетические масла для смазки различного оборудования в пищевой промышленности. Диапазон температур применения: от -30 °C до +120 °C.<br><br>Спецификации и лицензии <br><strong>FG UNIVERSAL 46:</strong> ISO VG 46; DIN 51524/2 (HLP); DIN 51524/3 (HVLP); DIN 51517/3 (CLP); DIN 51506 (VDL); NSF H1, FDA 21 CFR 178.3570<br><strong>FG UNIVERSAL 68:</strong> ISO VG 68; DIN 51524/2 (HLP); DIN 51524/3 (HVLP); DIN 51517/3 (CLP); DIN 51506 (VDL); NSF H1, FDA 21 CFR 178.3570<br><strong>FG UNIVERSAL 100:</strong> ISO VG 100; DIN 51524/2 (HLP); DIN 51524/3 (HVLP); DIN 51517/3 (CLP); DIN 51506 (VDL); NSF H1, FDA 21 CFR 178.3570";"";"FG Universal 46 ... 100";"";"";"fg-universal-46--100";"";"";"";"";"";"";"";"";"";""
